File Name,UVLED ID,Average Current (A),Current Standard Deviation (A),UVLED Current Amplitude (mA),UVLED Displacement (m),UVLED Pulse Frequency (Hz),Background Corrected Current (A),Corrected Current Standard Deviation (A),Flux (photons/mm^2),Flux Error
2017-05-18_frequency-00.csv,ID 8 WL=355nm,-3.24844818157e-07,2.66128232272e-08,40.0,close,43750,-1,-1,991233.3791524087,81282.72961212399
2017-05-18_frequency-01.csv,ID 8 WL=355nm,-3.50554719333e-07,1.62872199263e-10,40.0,close,47000,-1,-1,1031878.6739941641,3694.4088359951347
2017-05-18_frequency-02.csv,ID 8 WL=355nm,-1.3642421e-07,5.54346014086e-11,40.0,close,18000,-1,-1,586554.3021580523,2095.8638396586957
2017-05-18_frequency-03.csv,ID 8 WL=355nm,-7.05431556e-08,1.70667994063e-11,40.0,close,9250,-1,-1,352258.87566459767,1253.4196537764622
2017-05-18_frequency-04.csv,ID 8 WL=355nm,-3.19756149333e-07,1.65328068497e-10,40.0,close,42750,-1,-1,986830.5768651665,3540.2104724423607
2017-05-18_frequency-05.csv,ID 8 WL=355nm,-3.63496428667e-08,1.17164322406e-11,40.0,close,4750,-1,-1,197945.70958439968,705.5978550608048
2017-05-18_frequency-06.csv,ID 8 WL=355nm,-4.96997064667e-08,6.97449899148e-12,40.0,close,6500,-1,-1,261440.2335236931,928.8377036305993
2017-05-18_frequency-07.csv,ID 8 WL=355nm,-1.34801606e-08,2.38001763363e-11,40.0,close,1750,-1,-1,78122.73028889799,309.7419940458787
2017-05-18_frequency-08.csv,ID 8 WL=355nm,-8.1960287e-08,2.46519756544e-11,40.0,close,10750,-1,-1,398250.03030016605,1418.8530416839292
2017-05-18_frequency-09.csv,ID 8 WL=355nm,-3.44700264e-08,4.04405411767e-12,40.0,close,4500,-1,-1,188658.94828536207,670.1049043184187
2017-05-18_frequency-10.csv,ID 8 WL=355nm,-1.44069114667e-07,5.15338055865e-11,40.0,close,19000,-1,-1,609738.2597822227,2175.531302879621
2017-05-18_frequency-100.csv,ID 8 WL=355nm,-1.53275987333e-07,6.19408581328e-11,40.0,close,20250,-1,-1,636268.4011129449,2273.340565203008
2017-05-18_frequency-101.csv,ID 8 WL=355nm,-2.95804844667e-07,1.32033160752e-10,40.0,close,39500,-1,-1,948042.6153836471,3392.049623791982
2017-05-18_frequency-102.csv,ID 8 WL=355nm,-6.85931851333e-08,2.63197691413e-11,40.0,close,9000,-1,-1,344108.7083720197,1228.7009426286895
2017-05-18_frequency-103.csv,ID 8 WL=355nm,-2.70141060667e-07,1.26686890612e-10,40.0,close,36000,-1,-1,903222.5011780758,3234.2969913035413
2017-05-18_frequency-104.csv,ID 8 WL=355nm,-2.66460256e-07,1.18065863246e-10,40.0,close,35500,-1,-1,896452.3467496136,3207.0986713099433
2017-05-18_frequency-105.csv,ID 8 WL=355nm,-3.39600502667e-07,1.53032237539e-10,40.0,close,45500,-1,-1,1016210.9542316139,3636.496701762022
2017-05-18_frequency-106.csv,ID 8 WL=355nm,-2.36818450667e-07,1.00103249196e-10,40.0,close,31500,-1,-1,838411.639352773,2997.386174914693
2017-05-18_frequency-107.csv,ID 8 WL=355nm,-1.96163843333e-07,7.37951908249e-11,40.0,close,26000,-1,-1,748313.1518722174,2671.3857343847317
2017-05-18_frequency-108.csv,ID 8 WL=355nm,-2.07357419333e-07,8.62886216498e-11,40.0,close,27500,-1,-1,774637.8382084371,2768.793184795909
2017-05-18_frequency-109.csv,ID 8 WL=355nm,-3.52331444e-07,1.71952190441e-10,40.0,close,47250,-1,-1,1034296.6210398156,3706.28818706337
2017-05-18_frequency-11.csv,ID 8 WL=355nm,-3.8759132e-09,3.96277947298e-11,40.0,close,500,-1,-1,23080.11491777821,249.7936997925427
2017-05-18_frequency-110.csv,ID 8 WL=355nm,-2.49605181333e-07,1.07428231166e-10,40.0,close,33250,-1,-1,863906.6155953207,3089.325445322699
2017-05-18_frequency-111.csv,ID 8 WL=355nm,-1.53683582e-08,1.50598139019e-11,40.0,close,2000,-1,-1,88591.36207144923,326.2610693332023
2017-05-18_frequency-112.csv,ID 8 WL=355nm,-2.11179182667e-08,1.519478269e-11,40.0,close,2750,-1,-1,119821.02533637792,434.0136906247086
2017-05-18_frequency-113.csv,ID 8 WL=355nm,-1.58993529333e-07,6.40574300105e-11,40.0,close,21000,-1,-1,652497.5691734954,2331.2363006042756
2017-05-18_frequency-114.csv,ID 8 WL=355nm,-2.18524398e-07,9.4835393161e-11,40.0,close,29000,-1,-1,799797.3198684896,2860.4177634638977
2017-05-18_frequency-115.csv,ID 8 WL=355nm,-2.09180562e-07,9.00016123337e-11,40.0,close,27750,-1,-1,778761.6312180532,2784.8348196654333
2017-05-18_frequency-116.csv,ID 8 WL=355nm,-1.17620879333e-07,3.49968575669e-11,40.0,close,15500,-1,-1,526622.0619404804,1876.0632679160358
2017-05-18_frequency-117.csv,ID 8 WL=355nm,-7.61946560667e-08,2.21694042589e-11,40.0,close,10000,-1,-1,375287.21511399234,1336.7368294942353
2017-05-18_frequency-118.csv,ID 8 WL=355nm,-3.34167643333e-07,1.76909627557e-10,40.0,close,44750,-1,-1,1008314.1214603465,3619.098883103637
2017-05-18_frequency-119.csv,ID 8 WL=355nm,-9.50483234667e-08,3.29875486002e-11,40.0,close,12500,-1,-1,447778.5486031791,1597.192327092188
2017-05-18_frequency-12.csv,ID 8 WL=355nm,-1.55314056667e-07,6.46781245004e-11,40.0,close,20500,-1,-1,642266.2216828308,2295.678854813631
2017-05-18_frequency-120.csv,ID 8 WL=355nm,-1.40209839333e-07,4.75512213606e-11,40.0,close,18500,-1,-1,598080.5477804996,2132.852687405541
2017-05-18_frequency-121.csv,ID 8 WL=355nm,-2.53303568e-07,1.08820765371e-10,40.0,close,33750,-1,-1,871137.5349386941,3115.1007862543433
2017-05-18_frequency-122.csv,ID 8 WL=355nm,-1.68230193333e-07,6.83183017614e-11,40.0,close,22250,-1,-1,677562.8668131828,2421.0353110903156
2017-05-18_frequency-123.csv,ID 8 WL=355nm,-2.03652093333e-07,8.22566023017e-11,40.0,close,27000,-1,-1,766082.1922786528,2737.1379418496413
2017-05-18_frequency-124.csv,ID 8 WL=355nm,-3.55852064667e-07,1.70489939151e-10,40.0,close,47750,-1,-1,1038997.5407502719,3721.880057861676
2017-05-18_frequency-125.csv,ID 8 WL=355nm,-1.41999962667e-07,5.73260877747e-11,40.0,close,18750,-1,-1,603339.4996147837,2155.660154189748
2017-05-18_frequency-126.csv,ID 8 WL=355nm,-1.04517449333e-07,3.1656564873e-11,40.0,close,13750,-1,-1,481903.9084170184,1716.9742002758803
2017-05-18_frequency-127.csv,ID 8 WL=355nm,-3.68575376667e-07,2.03311002954e-10,40.0,close,49500,-1,-1,1056208.358252765,3794.53447752402
2017-05-18_frequency-128.csv,ID 8 WL=355nm,-1.88683004667e-07,8.29219917245e-11,40.0,close,25000,-1,-1,730064.7783208466,2611.514343651034
2017-05-18_frequency-129.csv,ID 8 WL=355nm,-2.51492262e-07,1.00605818699e-10,40.0,close,33500,-1,-1,867664.3097074705,3099.7030716983845
2017-05-18_frequency-13.csv,ID 8 WL=355nm,-2.72098258e-07,1.26560184508e-10,40.0,close,36250,-1,-1,906965.6188155662,3247.246347450351
2017-05-18_frequency-130.csv,ID 8 WL=355nm,-5.72414223333e-08,2.28759850911e-11,40.0,close,7500,-1,-1,295372.3190127312,1055.1951289638575
2017-05-18_frequency-131.csv,ID 8 WL=355nm,-1.08307452667e-07,3.16423106966e-11,40.0,close,14250,-1,-1,495161.3381553572,1763.76532446216
2017-05-18_frequency-132.csv,ID 8 WL=355nm,-1.75803664667e-07,7.19651870807e-11,40.0,close,23250,-1,-1,697684.3791732067,2493.1912333587757
2017-05-18_frequency-133.csv,ID 8 WL=355nm,-1.19533926e-07,4.1299731121e-11,40.0,close,15750,-1,-1,532983.2846955823,1901.0307634843107
2017-05-18_frequency-134.csv,ID 8 WL=355nm,-2.77465412e-07,1.2597885956e-10,40.0,close,37000,-1,-1,916391.9341436562,3279.6907231629566
2017-05-18_frequency-135.csv,ID 8 WL=355nm,-2.81027396667e-07,1.24924948358e-10,40.0,close,37500,-1,-1,922527.9671901037,3300.5501128597593
2017-05-18_frequency-136.csv,ID 8 WL=355nm,-8.94217644667e-08,3.19619388552e-11,40.0,close,11750,-1,-1,426843.310319711,1522.9548918078387
2017-05-18_frequency-137.csv,ID 8 WL=355nm,-4.77749758e-08,6.6409409243e-12,40.0,close,6250,-1,-1,252542.3775629493,897.2124578930885
2017-05-18_frequency-138.csv,ID 8 WL=355nm,-3.08607652e-07,1.55782143915e-10,40.0,close,41250,-1,-1,968996.5555527285,3474.5402372946905
2017-05-18_frequency-139.csv,ID 8 WL=355nm,-2.64510466e-07,1.18821354888e-10,40.0,close,35250,-1,-1,892666.4556966968,3194.2359622897084
2017-05-18_frequency-14.csv,ID 8 WL=355nm,-2.99501232e-07,1.3372773301e-10,40.0,close,40000,-1,-1,954240.0244384665,3414.241409469056
2017-05-18_frequency-140.csv,ID 8 WL=355nm,-3.72050235333e-07,1.79143848024e-10,40.0,close,50000,-1,-1,1060552.0619205518,3799.433726369028
2017-05-18_frequency-141.csv,ID 8 WL=355nm,-2.86455334667e-07,1.28720904278e-10,40.0,close,38250,-1,-1,931870.1312668683,3334.5358174269195
2017-05-18_frequency-142.csv,ID 8 WL=355nm,-3.25365544e-08,1.37552244853e-11,40.0,close,4250,-1,-1,178981.56400343674,639.8741820611483
2017-05-18_frequency-143.csv,ID 8 WL=355nm,-1.15831418667e-07,3.85855385461e-11,40.0,close,15250,-1,-1,520763.6372399233,1856.8322170381646
2017-05-18_frequency-144.csv,ID 8 WL=355nm,-3.360242e-07,1.67074359094e-10,40.0,close,45000,-1,-1,1011098.2513373632,3624.433554102614
2017-05-18_frequency-145.csv,ID 8 WL=355nm,-2.30132569333e-08,1.72311700878e-11,40.0,close,3000,-1,-1,129894.28489920587,471.2697514750082
2017-05-18_frequency-146.csv,ID 8 WL=355nm,-2.27735102667e-07,9.81549991572e-11,40.0,close,30250,-1,-1,819654.5745475725,2931.1408489428936
2017-05-18_frequency-147.csv,ID 8 WL=355nm,-2.90172908e-07,1.22674000245e-10,40.0,close,38750,-1,-1,938325.2001972586,3354.591655726892
2017-05-18_frequency-148.csv,ID 8 WL=355nm,-7.80456686667e-08,2.73120729511e-11,40.0,close,10250,-1,-1,382663.35907506355,1365.0393671561073
2017-05-18_frequency-149.csv,ID 8 WL=355nm,-1.28990902667e-07,4.05206678896e-11,40.0,close,17000,-1,-1,563546.3825410596,2008.4069919822277
2017-05-18_frequency-15.csv,ID 8 WL=355nm,-3.17740838e-07,1.46310883929e-10,40.0,close,42500,-1,-1,983414.0984195293,3520.366284256481
2017-05-18_frequency-150.csv,ID 8 WL=355nm,-5.53749973333e-08,4.66255047039e-12,40.0,close,7250,-1,-1,287109.69946219155,1019.526080555909
2017-05-18_frequency-151.csv,ID 8 WL=355nm,-1.0078534e-07,2.77790376603e-11,40.0,close,13250,-1,-1,468687.93729337817,1668.849574891833
2017-05-18_frequency-152.csv,ID 8 WL=355nm,-6.1024219e-08,1.38476332394e-11,40.0,close,8000,-1,-1,311918.811112721,1109.571667461966
2017-05-18_frequency-153.csv,ID 8 WL=355nm,-5.34791207333e-08,1.05038096008e-11,40.0,close,7000,-1,-1,278614.1274744719,990.5928009037598
2017-05-18_frequency-154.csv,ID 8 WL=355nm,-2.47892207333e-07,1.11948013588e-10,40.0,close,33000,-1,-1,860729.3517458892,3080.213779993492
2017-05-18_frequency-155.csv,ID 8 WL=355nm,-6.48312185333e-08,1.95052035583e-11,40.0,close,8500,-1,-1,328278.31896616024,1169.5657464579301
2017-05-18_frequency-156.csv,ID 8 WL=355nm,-1.90627522667e-07,7.79141451827e-11,40.0,close,25250,-1,-1,734962.1030596391,2626.3514420689053
2017-05-18_frequency-157.csv,ID 8 WL=355nm,-7.23946594e-08,2.2185264606e-11,40.0,close,9500,-1,-1,359844.77147797693,1282.1997327704082
2017-05-18_frequency-158.csv,ID 8 WL=355nm,-2.00003916667e-07,7.84089080115e-11,40.0,close,26500,-1,-1,757623.2965975206,2705.9131900001844
2017-05-18_frequency-159.csv,ID 8 WL=355nm,-2.68203696e-07,1.23684729793e-10,40.0,close,35750,-1,-1,899522.709931321,3220.13655073374
2017-05-18_frequency-16.csv,ID 8 WL=355nm,-2.16665544e-07,9.41657796867e-11,40.0,close,28750,-1,-1,795683.6677760453,2845.76671817807
2017-05-18_frequency-160.csv,ID 8 WL=355nm,-2.49158585333e-08,1.08738899747e-11,40.0,close,3250,-1,-1,139903.84381413445,500.3976653213717
2017-05-18_frequency-161.csv,ID 8 WL=355nm,-2.31440532667e-07,1.06649318483e-10,40.0,close,30750,-1,-1,827489.4820188126,2962.232360828721
2017-05-18_frequency-162.csv,ID 8 WL=355nm,-2.62733822667e-07,1.18242447622e-10,40.0,close,35000,-1,-1,889443.049825742,3182.7948567153308
2017-05-18_frequency-163.csv,ID 8 WL=355nm,-3.10290347333e-07,1.41594090129e-10,40.0,close,41500,-1,-1,971462.7607697687,3477.0679759113314
2017-05-18_frequency-164.csv,ID 8 WL=355nm,-1.71986774667e-07,6.4697793045e-11,40.0,close,22750,-1,-1,687577.3683721666,2454.5655504397387
2017-05-18_frequency-165.csv,ID 8 WL=355nm,-3.63145016667e-07,1.8538438065e-10,40.0,close,48750,-1,-1,1048975.9675105652,3762.1705531096104
2017-05-18_frequency-166.csv,ID 8 WL=355nm,-2.0166031e-07,8.89110849857e-11,40.0,close,26750,-1,-1,761234.4693126043,2723.144211531633
2017-05-18_frequency-167.csv,ID 8 WL=355nm,-2.05488707333e-07,7.9942221716e-11,40.0,close,27250,-1,-1,770314.663694988,2750.98854801459
2017-05-18_frequency-168.csv,ID 8 WL=355nm,-3.59522145333e-07,1.80467853679e-10,40.0,close,48250,-1,-1,1044082.0686112198,3743.3610787176076
2017-05-18_frequency-169.csv,ID 8 WL=355nm,-3.21207088667e-07,1.39801894378e-10,40.0,close,43000,-1,-1,988490.8210198337,3535.4176898167843
2017-05-18_frequency-17.csv,ID 8 WL=355nm,-3.66773346e-07,1.79159503471e-10,40.0,close,49250,-1,-1,1053833.5994709209,3776.3590766724556
2017-05-18_frequency-170.csv,ID 8 WL=355nm,-1.62595866667e-07,7.02724874249e-11,40.0,close,21500,-1,-1,662260.7829534287,2368.3846705212695
2017-05-18_frequency-171.csv,ID 8 WL=355nm,-2.88333376e-07,1.30578402849e-10,40.0,close,38500,-1,-1,935169.7840291873,3346.757469616056
2017-05-18_frequency-172.csv,ID 8 WL=355nm,-2.57159521333e-07,1.11003453151e-10,40.0,close,34250,-1,-1,878815.6286905569,3142.7734058388055
2017-05-18_frequency-173.csv,ID 8 WL=355nm,-4.58537976667e-08,9.86639896596e-12,40.0,close,6000,-1,-1,243576.08270896078,866.2819758362199
2017-05-18_frequency-174.csv,ID 8 WL=355nm,-3.23211786e-07,1.72226297268e-10,40.0,close,43250,-1,-1,991840.9727750802,3560.4795904015577
2017-05-18_frequency-175.csv,ID 8 WL=355nm,-3.15684003333e-07,1.45133498277e-10,40.0,close,42250,-1,-1,979849.1473610624,3507.512821517775
2017-05-18_frequency-176.csv,ID 8 WL=355nm,-2.45868256e-07,1.05191070267e-10,40.0,close,32750,-1,-1,856448.3966899416,3062.392039185501
2017-05-18_frequency-177.csv,ID 8 WL=355nm,-3.04755315333e-07,1.44780241164e-10,40.0,close,40750,-1,-1,962483.1014872299,3447.274268053147
2017-05-18_frequency-178.csv,ID 8 WL=355nm,-2.75479902e-07,1.21087651157e-10,40.0,close,36750,-1,-1,912618.2229972342,3264.534460193825
2017-05-18_frequency-179.csv,ID 8 WL=355nm,-2.87237772667e-08,1.0361863468e-11,40.0,close,3750,-1,-1,159629.78536969854,569.6040478177057
